word,meaning,sentence,sentence_translation
ignorance,"무지; 무식","His decision was based on ignorance of the facts.","그의 결정은 사실에 대한 무지에 근거했다."
illegal,불법적인,"It is illegal to drive without a license.","면허 없이 운전하는 것은 불법이다."
illogical,"비논리적인; 터무니없는","His argument was illogical and made no sense.","그의 주장은 비논리적이고 말이 되지 않았다."
illusion,"환상; 착각; 오해","The magician created an illusion that made the rabbit disappear.","마술사는 토끼가 사라지는 환상을 만들어냈다."
illustrate,"(예시를 들어) 설명하다; 삽화를 넣다","The teacher used a diagram to illustrate her point.","선생님은 자신의 요점을 설명하기 위해 도표를 사용했다."
imitation,"모방; 모조; 위조","The bag is a cheap imitation of a famous designer brand.","그 가방은 유명 디자이너 브랜드의 값싼 모조품이다."
impairment,"(신체적·정신적) 장애","He has a hearing impairment and uses a hearing aid.","그는 청각 장애가 있어서 보청기를 사용한다."
impatience,"성급함; 참을 수 없음","She tapped her foot with impatience while waiting in line.","그녀는 줄을 서서 기다리는 동안 초조하게 발을 두드렸다."
imperfect,"불완전한; 결점이 있는","No one is perfect; we all have our imperfect qualities.","아무도 완벽하지 않다; 우리 모두는 불완전한 점을 가지고 있다."
implication,"영향; 결과; 함축; 암시; 연루","The new law has serious implications for the economy.","새 법률은 경제에 심각한 영향을 미친다."
impress,인상을 주다,"He tried to impress her with his knowledge of art.","그는 자신의 예술 지식으로 그녀에게 좋은 인상을 주려고 노력했다."
impressed,감명 받은,"I was very impressed by his performance.","나는 그의 연기에 매우 감명받았다."
impressive,인상적인,"The skyscraper has an impressive view of the city.","그 고층 빌딩에서는 도시의 인상적인 전망을 볼 수 있다."
improper,"부적절한; 부도덕한","It is improper to talk loudly in the library.","도서관에서 큰 소리로 이야기하는 것은 부적절하다."
improve,"향상시키다; 개선하다","I want to improve my English speaking skills.","나는 내 영어 말하기 실력을 향상시키고 싶다."
impulse,충동,"He bought the expensive watch on an impulse.","그는 충동적으로 그 비싼 시계를 샀다."
"in charge of","~을 담당하는; 책임지는","She is in charge of the marketing department.","그녀는 마케팅 부서를 책임지고 있다."
"in light of","~에 비추어","In light of the new evidence, the case was reopened.","새로운 증거에 비추어 그 사건은 재개되었다."
"in particular",특히,"I like all kinds of music, but I enjoy classical music in particular.","나는 모든 종류의 음악을 좋아하지만, 특히 클래식 음악을 즐긴다."
"in person",직접,"You must apply for the passport in person.","여권은 직접 신청해야 합니다."
include,"포함하다; 에워싸다","The price includes breakfast and dinner.","가격에는 아침과 저녁 식사가 포함되어 있습니다."
inconceivable,"상상할 수도 없는; 터무니없는","It is inconceivable that he would betray his best friend.","그가 가장 친한 친구를 배신할 것이라고는 상상할 수도 없다."
incredibly,"믿을 수 없을 만큼; 대단히","The view from the top of the mountain was incredibly beautiful.","산 정상에서 본 경치는 믿을 수 없을 만큼 아름다웠다."
incur,"(손실을) 초래하다","The company incurred heavy losses last year.","그 회사는 작년에 큰 손실을 입었다."
independence,"독립; 자립(심)","The country celebrated its 100th anniversary of independence.","그 나라는 독립 100주년을 기념했다."
indicator,"지표; 지표; 표시기","The rising stock market is a positive indicator for the economy.","주식 시장의 상승은 경제에 긍정적인 지표이다."
indifferent,"무관심한; 중요치 않은","He seemed indifferent to the news.","그는 그 소식에 무관심한 듯 보였다."
individual,"개인; 개체;개인의; 개개의","We must respect the rights of every individual.","우리는 모든 개인의 권리를 존중해야 한다."
induce,"유도하다; 설득하다","The doctor tried to induce labor.","의사는 분만을 유도하려고 했다."
industrialize,산업화하다,"Many countries began to industrialize in the 19th century.","많은 나라들이 19세기에 산업화하기 시작했다."
ineffective,효과 없는,"The new policy was ineffective in reducing crime.","새로운 정책은 범죄 감소에 효과가 없었다."
infamous,"악명 높은","He is an infamous criminal wanted in several countries.","그는 여러 나라에서 수배 중인 악명 높은 범죄자이다."
infant,"유아;유아의; 초기의","The infant mortality rate has decreased in recent years.","최근 몇 년 동안 유아 사망률이 감소했다."
infer,"추론하다; 추측하다; 암시하다","From his silence, I inferred that he was not happy.","그의 침묵으로 보아, 나는 그가 행복하지 않다는 것을 추론했다."
inferiority,열등,"He has an inferiority complex and lacks confidence.","그는 열등감을 가지고 있고 자신감이 부족하다."
influence,"영향(력); 영향을 주는 사람(사물);영향을 주다","Peer pressure can have a strong influence on teenagers.","또래 압력은 십대들에게 강한 영향을 미칠 수 있다."
inhabit,"살다; 서식하다","Various species of birds inhabit this forest.","이 숲에는 다양한 종류의 새들이 서식한다."
inherent,"고유의; 타고난","There are inherent risks in any business venture.","어떤 사업이든 내재된 위험이 있다."
injustice,"불법; 불공정; 권리 침해; 부당한 일","Many people protested against the social injustice.","많은 사람들이 사회적 불의에 항의했다."
inkling,"어렴풋이 알고 있음; 암시","I had an inkling that something was wrong.","나는 무언가 잘못되었다는 것을 어렴풋이 짐작했다."
inland,"내륙;오지의; 국내의;내륙에","The storm moved inland, bringing heavy rain.","폭풍은 내륙으로 이동하며 폭우를 몰고 왔다."
insinuate,"(불쾌한 일을) 암시하다; 넌지시 말하다","Are you insinuating that I am lying?","내가 거짓말을 하고 있다는 것을 넌지시 암시하는 건가요?"
inspiring,"고무하는; 영감을 주는","Her story of overcoming adversity is truly inspiring.","역경을 극복한 그녀의 이야기는 정말 감동적이다."
installation,"설치; 장치; 전시","The installation of the new software took several hours.","새 소프트웨어를 설치하는 데 몇 시간이 걸렸다."
instance,"사례; 경우;보기로 들다; 예증하다","For instance, you could try exercising more often.","예를 들어, 더 자주 운동을 해볼 수 있습니다."
instead,대신에,"I decided to walk instead of taking the bus.","나는 버스를 타는 대신 걷기로 결정했다."
instrument,"기계; 계기; 악기;수단을 설치하다","A piano is a beautiful musical instrument.","피아노는 아름다운 악기이다."
integrate,"통합하다; 합치다","The company plans to integrate the two departments.","그 회사는 두 부서를 통합할 계획이다."
intellect,지성; 이해력; 지식인,"She is a woman of great intellect and wit.","그녀는 뛰어난 지성과 재치를 가진 여성이다."
intend,"의도하다; 하려고 하다","I intend to finish my work before I go home.","나는 집에 가기 전에 내 일을 끝낼 작정이다."
interact,"상호 작용을 하다; 교류하다","Children learn social skills by interacting with others.","아이들은 다른 사람들과 상호 작용함으로써 사회적 기술을 배운다."
interchange,"교환;교차하다; 교환하다","The new highway interchange has improved traffic flow.","새로운 고속도로 분기점은 교통 흐름을 개선했다."
interestingly,흥미롭게; 재미있게,"Interestingly, the two scientists made the same discovery at the same time.","흥미롭게도, 두 과학자는 동시에 같은 발견을 했다."
interference,"간섭; 방해; 참견","I don't appreciate your interference in my personal life.","내 사생활에 대한 당신의 간섭은 달갑지 않아요."
interlude,"사이; 막간","There was a brief interlude of calm before the storm returned.","폭풍이 다시 오기 전에 잠시 평온한 막간이 있었다."
intermediate,"중급자;중급의; 중간의","This course is for students at an intermediate level.","이 과정은 중급 수준의 학생들을 위한 것입니다."
international,"국제적인; 국가간의","The company has international offices in several countries.","그 회사는 여러 나라에 해외 사무소를 두고 있다."
interrogation,"질문; 심문","The suspect was taken to the police station for interrogation.","용의자는 심문을 받기 위해 경찰서로 연행되었다."
intolerance,"편협성; 참을 수 없음","Religious intolerance can lead to conflict and violence.","종교적 편협은 갈등과 폭력으로 이어질 수 있다."
intoxicating,"취하게 하는","The wine had an intoxicating effect on him.","그 와인은 그에게 취하게 하는 효과가 있었다."
intrinsic,"본질적인; 고유의","The intrinsic value of a work of art is difficult to measure.","예술 작품의 본질적인 가치는 측정하기 어렵다."
introduction,"도입; 소개; 서문","The introduction of the book provides an overview of the main topics.","그 책의 서문은 주요 주제에 대한 개요를 제공한다."
introvert,내성적인 사람,"As an introvert, she prefers quiet evenings at home.","내성적인 사람으로서, 그녀는 집에서의 조용한 저녁을 선호한다."
intrusion,"강요; 침입; 침해","He apologized for his intrusion into their private conversation.","그는 그들의 사적인 대화에 끼어든 것에 대해 사과했다."
intuition,"직관력; 직감","My intuition told me that something was not right.","내 직감은 무언가 잘못되었다고 말해주었다."
invasion,"침공; 내습; 침해","The country prepared to defend itself against a possible invasion.","그 나라는 있을 수 있는 침공에 대비하여 방어할 준비를 했다."
invert,"뒤집다; 도치시키다","If you invert the glass, the water will spill out.","잔을 뒤집으면 물이 쏟아질 것이다."
invisible,보이지 않는,"The stars are invisible during the day.","낮에는 별이 보이지 않는다."
invoice,"청구서; 송장;청구서를 작성하다","Please send us an invoice for the services provided.","제공된 서비스에 대한 청구서를 보내주십시오."
involve,"포함하다; 수반하다; 관련시키다","The job involves a lot of travel.","그 일은 많은 출장을 수반한다."
irrational,"비이성적인","His fear of spiders is completely irrational.","그의 거미에 대한 두려움은 완전히 비이성적이다."
irregular,불규칙적인,"He has an irregular heartbeat and needs to see a doctor.","그는 심장 박동이 불규칙해서 의사의 진찰을 받아야 한다."
irrelevant,"무관한; 엉뚱한","His comment was completely irrelevant to the topic of discussion.","그의 발언은 토론 주제와 전혀 무관했다."
irresponsible,무책임한,"It was irresponsible of him to leave the children alone.","아이들을 혼자 둔 것은 그의 무책임한 행동이었다."
irreversible,"되돌릴 수 없는","The damage to the environment is irreversible.","환경에 대한 피해는 되돌릴 수 없다."
irritate,"짜증나게 하다; 거슬리다","The constant noise from the construction site began to irritate the residents.","공사장에서 나는 끊임없는 소음은 주민들을 짜증나게 하기 시작했다."
isolation,"고립; 분리; 격리","He lived in isolation in a remote cabin in the mountains.","그는 산속 외딴 오두막에서 고립되어 살았다."
item,"품목; 물품;항목별로 쓰다","Please check every item on the shopping list.","쇼핑 목록에 있는 모든 품목을 확인해 주세요."
justifiable,정당한,"Her anger was justifiable, given the circumstances.","상황을 고려할 때 그녀의 분노는 정당했다."
juvenile,"청소년;청소년의","He was sent to a juvenile detention center.","그는 소년원에 보내졌다."
latitude,위도; (위도상의) 지역,"The city is located at a latitude of 40 degrees north.","그 도시는 북위 40도에 위치해 있다."
launch,"개시; 출시(행사);시작하다; 출시하다; 발사하다","The company will launch its new product next month.","그 회사는 다음 달에 신제품을 출시할 예정이다."
law,법; 법률,"It is important to obey the law.","법을 준수하는 것이 중요하다."
lead,"선두; 지휘; 모범;이끌고 가다;안내하다;주요 기사의","She took the lead in organizing the event.","그녀는 그 행사를 조직하는 데 앞장섰다."
league,"리그; 연맹","Our team is currently at the top of the league.","우리 팀은 현재 리그 1위를 달리고 있다."
lean,"호리호리한; 무지방의;기울다; 기대다","He is tall and lean.","그는 키가 크고 호리호리하다."
let,"빌려주기; 임대;~하게 해 주다; ~하게 두다; 다치게 하다","Please let me know if you need any help.","도움이 필요하면 알려주세요."
librarian,사서; 도서관원,"The librarian helped me find the book I was looking for.","사서는 내가 찾고 있던 책을 찾는 것을 도와주었다."
lift,"들어올림; 승강기;들어올리다; 올라가다","Can you help me lift this heavy box?","이 무거운 상자 드는 것 좀 도와줄래요?"
limit,"한계(선); 제한;한정하다; 제한하다","You need to know your own limits.","자신의 한계를 알아야 합니다."
linger,"남아 있다; 오래 머물다; 좀처럼 사라지지 않다","The smell of smoke lingered in the air.","연기 냄새가 공기 중에 남아 있었다."
"link A with B",A와 B를 연결하다,"The police are trying to link the two crimes.","경찰은 두 범죄를 연관 지으려고 노력하고 있다."
literacy,"읽고 쓰는 능력;(특정 분야에 관한) 지식","The government is working to improve literacy rates in the country.","정부는 그 나라의 문해율을 높이기 위해 노력하고 있다."
literature,"문학; 저술; 문헌","She is studying English literature at university.","그녀는 대학에서 영문학을 공부하고 있다."
livestock,가축,"The farm has various kinds of livestock, including cows and sheep.","그 농장에는 소와 양을 포함한 다양한 가축이 있다."
